CRC: b'09dad161',块类型：: IHDR, 长度: 13, CRC校验结果: True
CRC: b'8f84d7bb',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'aaaf3da3',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'a12c36ec',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'd80310a4',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'6fb2475e',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'e7862d09',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'e6c5750a',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'77a6e2fa',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'3c4fb235',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'ae20299e',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'd0ae02d8',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'158cfe32',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'4d97126b',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'f633bc6e',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'c8255a59',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'238597f3',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'1255ba67',块类型：: IDAT, 长度: 1152, CRC校验结果: False
CRC: b'f8d4a203',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'27598826',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'0c58ea18',块类型：: IDAT, 长度: 1152, CRC校验结果: False
CRC: b'eea59158',块类型：: IDAT, 长度: 1152, CRC校验结果: False
CRC: b'80532912',块类型：: IDAT, 长度: 1152, CRC校验结果: False
CRC: b'4ac09656',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'6e727b44',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'8cbe49e9',块类型：: IDAT, 长度: 1152, CRC校验结果: False
CRC: b'cd3579c1',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'64e9ab23',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'1fdff041',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'77bb66e5',块类型：: IDAT, 长度: 1152, CRC校验结果: False
CRC: b'8bcce3e9',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'9d13b23f',块类型：: IDAT, 长度: 1152, CRC校验结果: False
CRC: b'5c07ecc4',块类型：: IDAT, 长度: 1152, CRC校验结果: False
CRC: b'a66403e8',块类型：: IDAT, 长度: 1152, CRC校验结果: False
CRC: b'65135871',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'5d74deb5',块类型：: IDAT, 长度: 1152, CRC校验结果: True
CRC: b'e415fb46',块类型：: IDAT, 长度: 1152, CRC校验结果: False
CRC: b'11c2775c',块类型：: IDAT, 长度: 1152, CRC校验结果: False
CRC: b'73ea7318',块类型：: IDAT, 长度: 1152, CRC校验结果: True
