misc46.gif[0] GIF 900x150+0+0 PseudoClass 2c 8-bit 1.2Mi 0.000u 0m:0.000004s
misc46.gif[1] GIF 450x50+174+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000080s
misc46.gif[2] GIF 450x50+196+47 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000075s
misc46.gif[3] GIF 450x50+256+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000069s
misc46.gif[4] GIF 450x50+293+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000068s
misc46.gif[5] GIF 450x50+220+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000068s
misc46.gif[6] GIF 450x50+245+47 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000071s
misc46.gif[7] GIF 450x50+172+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000068s
misc46.gif[8] GIF 450x50+342+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000069s
misc46.gif[9] GIF 450x50+331+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000065s
misc46.gif[10] GIF 450x50+319+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000067s
misc46.gif[11] GIF 450x50+200+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000065s
misc46.gif[12] GIF 450x50+233+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000074s
misc46.gif[13] GIF 450x50+144+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000073s
misc46.gif[14] GIF 450x50+254+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000062s
misc46.gif[15] GIF 450x50+284+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000062s
misc46.gif[16] GIF 450x50+308+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000058s
misc46.gif[17] GIF 450x50+261+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000058s
misc46.gif[18] GIF 450x50+335+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000057s
misc46.gif[19] GIF 450x50+323+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000061s
misc46.gif[20] GIF 450x50+341+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000060s
misc46.gif[21] GIF 450x50+110+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000062s
misc46.gif[22] GIF 450x50+162+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000060s
misc46.gif[23] GIF 450x50+266+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000063s
misc46.gif[24] GIF 450x50+217+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000059s
misc46.gif[25] GIF 450x50+284+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000060s
misc46.gif[26] GIF 450x50+115+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000061s
misc46.gif[27] GIF 450x50+119+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000064s
misc46.gif[28] GIF 450x50+245+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000061s
misc46.gif[29] GIF 450x50+216+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000097s
misc46.gif[30] GIF 450x50+210+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000066s
misc46.gif[31] GIF 450x50+335+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000061s
misc46.gif[32] GIF 450x50+279+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000061s
misc46.gif[33] GIF 450x50+129+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000060s
misc46.gif[34] GIF 450x50+308+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000061s
misc46.gif[35] GIF 450x50+243+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000062s
misc46.gif[36] GIF 450x50+193+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000062s
misc46.gif[37] GIF 450x50+326+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000063s
misc46.gif[38] GIF 450x50+137+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000064s
misc46.gif[39] GIF 450x50+310+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000060s
misc46.gif[40] GIF 450x50+300+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000060s
misc46.gif[41] GIF 450x50+147+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000064s
misc46.gif[42] GIF 450x50+170+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000082s
misc46.gif[43] GIF 450x50+324+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000063s
misc46.gif[44] GIF 450x50+316+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000056s
misc46.gif[45] GIF 450x50+125+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000081s
misc46.gif[46] GIF 450x50+155+52 PseudoClass 16c 8-bit 1.2Mi 0.010u 0m:0.000059s
misc46.gif[47] GIF 450x50+290+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000057s
misc46.gif[48] GIF 450x50+108+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000059s
misc46.gif[49] GIF 450x50+133+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000056s
misc46.gif[50] GIF 450x50+203+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000055s
misc46.gif[51] GIF 450x50+241+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000059s
misc46.gif[52] GIF 450x50+239+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000055s
misc46.gif[53] GIF 450x50+220+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000059s
misc46.gif[54] GIF 450x50+266+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000057s
misc46.gif[55] GIF 450x50+317+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000058s
misc46.gif[56] GIF 450x50+249+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000055s
misc46.gif[57] GIF 450x50+154+47 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000058s
misc46.gif[58] GIF 450x50+304+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000056s
misc46.gif[59] GIF 450x50+139+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000055s
misc46.gif[60] GIF 450x50+121+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000059s
misc46.gif[61] GIF 450x50+278+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000057s
misc46.gif[62] GIF 450x50+278+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000074s
misc46.gif[63] GIF 450x50+337+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000060s
misc46.gif[64] GIF 450x50+135+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000066s
misc46.gif[65] GIF 450x50+129+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000060s
misc46.gif[66] GIF 450x50+227+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000056s
misc46.gif[67] GIF 450x50+280+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000057s
misc46.gif[68] GIF 450x50+151+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000059s
misc46.gif[69] GIF 450x50+229+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000057s
misc46.gif[70] GIF 450x50+286+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000059s
misc46.gif[71] GIF 450x50+273+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000056s
misc46.gif[72] GIF 450x50+302+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000057s
misc46.gif[73] GIF 450x50+125+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000058s
misc46.gif[74] GIF 450x50+294+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000055s
misc46.gif[75] GIF 450x50+222+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000058s
misc46.gif[76] GIF 450x50+305+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000055s
misc46.gif[77] GIF 450x50+273+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000059s
